adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
35,50,10,0.002,0.25,True,-32.58,-6.15,-1.12,-0.263,-35.51,-0.173,28.1,0.609,121,6742.07,71.07
35,100,20,0.002,0.25,True,-28.31,-5.22,-1.125,-0.218,-28.31,-0.184,28.09,0.556,89,7169.31,71.91
25,50,30,0.002,0.2,True,-30.27,-5.64,-1.126,-0.295,-31.61,-0.179,28.28,0.635,145,6973.03,71.72
30,100,10,0.002,0.15,True,-28.87,-5.34,-1.144,-0.303,-32.26,-0.166,31.29,0.636,163,7113.25,65.64
25,100,10,0.005,0.2,True,-36.91,-7.15,-1.148,-0.339,-40.99,-0.174,28.73,0.658,181,6309.22,70.17
35,200,20,0.002,0.2,True,-24.31,-4.39,-1.154,-0.201,-24.64,-0.178,25.68,0.497,74,7568.77,72.97
35,200,30,0.002,0.15,True,-18.39,-3.22,-1.156,-0.176,-19.59,-0.164,26.23,0.451,61,8160.52,73.77
25,200,10,0.002,0.15,True,-30.45,-5.68,-1.158,-0.316,-34.04,-0.167,31.98,0.639,172,6954.83,66.86
35,200,30,0.005,0.25,False,-33.33,-6.32,-1.16,-0.259,-37.64,-0.168,30.51,0.594,118,6667.12,69.49
35,100,20,0.01,0.25,False,-36.26,-7.0,-1.164,-0.289,-37.28,-0.188,25.4,0.595,126,6373.54,70.63
35,100,20,0.005,0.25,False,-37.68,-7.33,-1.165,-0.317,-40.11,-0.183,30.95,0.648,168,6232.39,66.07
35,50,10,0.01,0.2,True,-27.59,-5.07,-1.169,-0.213,-29.81,-0.17,22.67,0.495,75,7241.19,77.33
25,200,30,0.01,0.25,True,-30.47,-5.69,-1.171,-0.225,-33.4,-0.17,25.3,0.52,83,6952.93,73.49
35,100,30,0.005,0.2,False,-31.87,-5.99,-1.181,-0.278,-35.48,-0.169,32.61,0.61,138,6813.26,67.39
25,200,20,0.01,0.15,True,-24.64,-4.45,-1.188,-0.221,-27.89,-0.16,27.91,0.506,86,7536.26,72.09
25,200,30,0.002,0.25,True,-34.26,-6.53,-1.201,-0.285,-35.93,-0.182,27.05,0.581,122,6573.83,72.13
25,100,20,0.01,0.15,True,-23.94,-4.31,-1.207,-0.228,-26.6,-0.162,26.44,0.507,87,7606.37,73.56
30,50,10,0.002,0.25,True,-40.07,-7.92,-1.208,-0.349,-43.18,-0.183,28.16,0.643,174,5993.3,70.11
25,100,30,0.01,0.2,True,-28.17,-5.19,-1.21,-0.233,-29.73,-0.175,25.29,0.514,87,7182.98,74.71
30,50,20,0.002,0.25,True,-36.07,-6.95,-1.211,-0.301,-38.47,-0.181,29.79,0.61,141,6392.8,70.21
35,50,30,0.002,0.2,True,-23.98,-4.32,-1.214,-0.201,-24.75,-0.175,25.71,0.473,70,7601.52,74.29
25,50,10,0.002,0.2,True,-40.81,-8.1,-1.217,-0.408,-47.2,-0.172,30.34,0.68,234,5919.31,68.38
30,50,30,0.01,0.25,False,-40.6,-8.05,-1.227,-0.335,-41.86,-0.192,27.39,0.621,157,5939.63,71.34
30,100,30,0.002,0.2,True,-29.21,-5.41,-1.23,-0.265,-31.14,-0.174,31.36,0.572,118,7079.17,68.64
25,100,30,0.002,0.25,True,-35.86,-6.91,-1.231,-0.307,-38.98,-0.177,27.61,0.592,134,6413.57,72.39
